scenario_id,sensor_mode,rmse_full_mean,rmse_full_std,rmse_steady_mean,rmse_steady_std,rmse_steady_xy_mean,rmse_steady_xy_std,median_error_steady_mean,mean_nees_steady_mean,n_repetitions,divergence_rate_pct,empirical_divergence_rate_pct,distance_scale,noise_scale
1,fusion,0.24546584433761173,0.005225700416616368,0.24608121081565054,0.005095793393000664,0.2307306890158205,0.005154146410878075,0.20449808014927298,49.901770680074435,20,0.0,0.0,1.5,1.0
1,rf_only,7.3995415523983565,0.07360300641342678,7.3995415523983565,0.07360300641342678,3.3736275397544957,0.1606920101617384,6.669836608906199,82.82882912479707,20,100.0,0.0,1.5,1.0
1,track_to_track_ci,0.3524816440652159,0.030010969701164555,0.3538949268389312,0.02953627326508577,0.3219784206503652,0.031527165364128154,0.34286398582741706,43.04110626435627,20,0.0,0.0,1.5,1.0
1,baseline_geometric,0.2853642930099402,0.006582142915204935,0.2853642930099402,0.006582142915204935,0.2464947098466043,0.005461305921791566,0.22911808073732476,,20,0.0,0.0,1.5,2.0
1,camera_only,0.15820062969508336,0.044963269996152085,0.14427962385549473,0.007577143416062431,0.1286544326598636,0.008406852484106575,0.11400217310590344,3.276387493594819,20,0.0,0.0,1.5,2.0
1,fusion,0.6089342857352348,0.31636169315261614,0.48431937690219173,0.010684527441906125,0.4532577026090471,0.010608967079160017,0.4027241247472243,67.92755034459665,20,0.0,0.0,1.5,2.0
1,rf_only,304320073.95510745,324469920.23593813,304320073.95510745,324469920.23593813,304320073.9551073,324469920.23593825,266456062.6629966,468515031418921.9,20,100.0,100.0,1.5,2.0
1,track_to_track_ci,0.6414577593956305,0.0805465840710458,0.6455605424069806,0.08001039911065606,0.5794672637213246,0.07418759305959227,0.583253757827873,52.26831657083487,20,0.0,0.0,1.5,2.0
2,baseline_geometric,1.690304728811073,0.09509507747281692,1.690304728811073,0.09509507747281692,1.6199713360100851,0.09320985300956841,0.04440711584124042,,20,0.0,0.0,0.75,0.5
2,camera_only,1.0660149754126402,0.39583027885482586,0.2710275281355578,0.11668034038422352,0.2608244631698751,0.11332775693741753,0.023128732623100955,2.7059555099421315,20,0.0,0.0,0.75,0.5
2,fusion,0.34604995713748266,0.11679706534425137,0.15907852662121053,0.03206784504969417,0.1509613944053806,0.03190237684750626,0.05630075287102219,31.33796442130522,20,0.0,0.0,0.75,0.5
