scenario_id,sensor_mode,rmse_full_mean,rmse_full_std,rmse_steady_mean,rmse_steady_std,rmse_steady_xy_mean,rmse_steady_xy_std,median_error_steady_mean,mean_nees_steady_mean,n_repetitions,divergence_rate_pct,empirical_divergence_rate_pct,distance_scale
3,baseline_geometric,0.14036877792950517,,0.14036877792950517,,0.11499647989558305,,0.1088805428180996,,1,0.0,0.0,1.5
3,camera_only,0.07652620514423174,,0.07563435800972644,,0.06398954376837572,,0.059528806831837415,3.2974319913743035,1,0.0,0.0,1.5
3,fusion,0.48674038269368125,,0.21318911890234776,,0.1962586620641057,,0.19189957434609595,49.10276604588292,1,0.0,0.0,1.5
3,rf_only,7.082001208524055,,7.082001208524055,,2.608116752540607,,6.091708713713893,86.92410352105172,1,100.0,0.0,1.5
3,track_to_track_ci,0.26708899586967105,,0.2683524180627267,,0.22472173107545867,,0.26123704347670923,40.539676668139215,1,0.0,0.0,1.5
3,baseline_geometric,0.17199359439861162,,0.17199359439861162,,0.1426226785625757,,0.13315894542720713,,1,0.0,0.0,2.0
3,camera_only,4.081839610856722,,0.10625886439014806,,0.09245780232341201,,0.07618737520132995,4.258718779151849,1,0.0,0.0,2.0
3,fusion,2.35620393151474,,0.3256271589152885,,0.29734473684650253,,0.27743326943536933,59.78404485841544,1,0.0,0.0,2.0
3,rf_only,7.66567499210766,,7.66567499210766,,3.925570669691645,,6.2237214650453945,81.84742446711758,1,100.0,0.0,2.0
3,track_to_track_ci,2.1045740482351483,,2.112817685699267,,2.087253980802904,,0.3198939176458129,85.20011350282398,1,0.0,0.0,2.0
