scenario_id,sensor_mode,repetition,covariance_stabilized,t_conv_s,empirically_diverged,t_empirical_divergence_s,mean_nees_steady,rmse_full_m,median_error_full_m,p95_error_full_m,rmse_full_xy_m,rmse_steady_m,median_error_steady_m,p95_error_steady_m,rmse_steady_xy_m,n_grid_points,n_valid_points_steady
2,fusion,5,True,2.1666666666666665,False,,45.754009465292334,0.3382145772776175,0.1419378114517022,0.4003385565178477,0.3220838160094726,0.2235363169060377,0.1379545469447584,0.3849429137673874,0.2072907142297796,401,357
2,rf_only,5,False,,False,,103.32964600346428,6.858367700527352,6.15153244262502,10.263718168182072,1.9195675622906656,6.858367700527352,6.15153244262502,10.263718168182072,1.9195675622906656,401,381
2,camera_only,5,True,2.3,False,,3.104045352992452,1.7491039053531086,0.0455756197698641,4.540147691112964,1.695205805086852,0.0861621561487553,0.0427523445829343,0.1938887006669267,0.0786287365986035,401,355
2,track_to_track_ci,5,True,3.2,False,,42.38875622306826,2.445251116355819,0.2661587656270066,7.259122622328918,2.3586377736483106,0.2689161144043229,0.2545916064705003,0.3992409558088122,0.2321316181222794,401,337
2,baseline_geometric,5,True,,False,,,2.522557776718683,0.0809976872978102,6.097911512563576,2.449195871736551,2.522557776718683,0.0809976872978102,6.097911512563576,2.449195871736551,401,401
2,fusion,6,True,2.2333333333333334,False,,47.13664052416441,0.3395211101922694,0.1690113174443507,0.6028867801547878,0.3210306520283014,0.2562660929893705,0.1586134557329623,0.4884023982910471,0.2386738166753073,401,356
2,rf_only,6,False,,False,,98.096679482914,6.846828787907666,6.162556343014982,10.245570303106785,1.877923367413216,6.846828787907666,6.162556343014982,10.245570303106785,1.877923367413216,401,381
2,camera_only,6,True,2.0666666666666664,False,,2.7038645579821448,1.1040901763758544,0.0452904334615852,0.6875498061280703,1.0693497313749143,0.1075280758622564,0.0436674897365767,0.132390970038501,0.1021346757093388,401,359
2,track_to_track_ci,6,True,3.1,False,,50.77242928666288,1.5144260445314477,0.3284636779692594,3.349696036352087,1.4579218075840903,0.4094765503430958,0.3074968281034159,0.6968051772679714,0.379238015245084,401,339
2,baseline_geometric,6,True,,False,,,2.5164161339555853,0.0765842001702407,5.464348957820526,2.446905132458615,2.5164161339555853,0.0765842001702407,5.464348957820526,2.446905132458615,401,401
2,fusion,7,True,2.1666666666666665,False,,53.02825590788723,0.4002299900936173,0.2491676151450867,0.4535899093026803,0.3807099191822433,0.2628178385482246,0.241316829149137,0.4133874890533445,0.2441030493032406,401,357
2,rf_only,7,False,,False,,107.03158548908092,6.85770969782142,6.166215306492637,10.282204446007851,1.9172153114092143,6.85770969782142,6.166215306492637,10.282204446007851,1.9172153114092143,401,381
2,camera_only,7,True,2.0666666666666664,False,,3.2676459057898395,1.0254629250244074,0.0524693685661017,2.039673064575142,0.9928493057265912,0.2178654622349838,0.0474964768277205,0.565384813334819,0.2113172056634508,401,359
2,track_to_track_ci,7,True,3.25,False,,48.10069389854369,1.236925713518742,0.3063521406273161,2.6445489188627813,1.1899578579697525,0.3096631701631142,0.2676087171998057,0.454849981832457,0.2746936533716491,401,336
2,baseline_geometric,7,True,,False,,,2.760154572078489,0.0849231501468073,6.622068674933883,2.682884310222575,2.760154572078489,0.0849231501468073,6.622068674933883,2.682884310222575,401,401
2,fusion,8,True,2.433333333333333,False,,47.48650010479837,0.6170439474700666,0.1900963127354419,0.9759815267422252,0.5949494151127219,0.2768426871009775,0.1673288592158036,0.5486708718534085,0.2613102247847202,401,352
2,rf_only,8,False,,False,,111.26517758968755,6.903383283025562,6.20784595422939,10.338313610030548,2.074664411671542,6.903383283025562,6.20784595422939,10.338313610030548,2.074664411671542,401,381
2,camera_only,8,True,2.1,False,,2.893395689969677,1.6008999703696625,0.0450749714370021,1.1711626209208013,1.5525671625454205,0.2167647374661693,0.043659600564855,0.5666898116522749,0.2083087265562478,401,359
2,track_to_track_ci,8,True,3.2,False,,44.232158409829786,1.7230645881431044,0.2836785179350448,4.171754469639383,1.6632341330596565,0.3102058675200092,0.269206905366373,0.4375801990747768,0.2782321543334838,401,337
2,baseline_geometric,8,True,,False,,,2.8263061214698184,0.0847934333563924,6.46310742649585,2.746943039993401,2.8263061214698184,0.0847934333563924,6.46310742649585,2.746943039993401,401,401
2,fusion,9,True,2.2666666666666666,False,,47.32214540314583,0.3511210349929449,0.2131173082604173,0.6175858770668922,0.3351793695536946,0.2443657542041675,0.1993704841023643,0.4145122341716594,0.2297258648448313,401,355
2,rf_only,9,False,,False,,102.87397765649004,6.867669650592229,6.132122042760741,10.348252597199457,1.9525415594198607,6.867669650592229,6.132122042760741,10.348252597199457,1.9525415594198607,401,381
2,camera_only,9,True,9.766666666666666,False,,3.064824414394972,6.637254132265162,0.2694905498387407,13.626734707837306,6.011891642036068,0.1569207760268917,0.0452328232471199,0.4657016994634072,0.1533741011774101,401,205
2,track_to_track_ci,9,False,,False,,45.13627966340787,3.059654511906009,0.3268518158611615,9.570057144376529,2.9471822415228623,3.059654511906009,0.3268518158611615,9.570057144376529,2.9471822415228623,401,381
