scenario_id,repetition,sensor_mode,pearson_r,p_value
3,23,track_to_track_ci,0.4035890039699684,0.0866122395895137
3,24,fusion,0.388872528388282,0.0998677287709022
3,24,track_to_track_ci,0.4193031897795661,0.0739332257975095
3,25,fusion,0.3888815221771624,0.0998592043039337
3,25,track_to_track_ci,0.3969214961970115,0.0924476147914774
3,26,fusion,0.3160481158452267,0.1874403843270585
3,26,track_to_track_ci,0.4245246415924589,0.0700420328074145
3,27,fusion,0.3901728907003807,0.0986406842718729
3,27,track_to_track_ci,0.3742360731970244,0.1144498794104312
3,28,fusion,0.3361611885761126,0.1593793270466958
3,28,track_to_track_ci,0.4054782950305775,0.0850089851056892
3,29,fusion,0.3536206626653265,0.1374821242249852
3,29,track_to_track_ci,0.4221810590769443,0.071769204588235
3,3,fusion,0.3849918483662699,0.1035952798593213
3,3,track_to_track_ci,0.3787901986755026,0.1097590295165995
3,4,fusion,0.415392719498617,0.076950831045618
3,4,track_to_track_ci,0.4481248246690645,0.0543314324119522
3,5,fusion,0.3630814207798252,0.1265411924332347
3,5,track_to_track_ci,0.4194077566984563,0.0738537587320694
3,6,fusion,0.3445564897617672,0.1485699857659985
3,6,track_to_track_ci,0.3896429876507457,0.0991393834056061
3,7,fusion,0.2826408026162519,0.2410117039516328
3,7,track_to_track_ci,0.4074264135392548,0.0833787381311109
3,8,fusion,0.4844629629169325,0.0355485680640932
3,8,track_to_track_ci,0.425867562508902,0.0690663906900894
3,9,fusion,0.3247619965656287,0.1749036566903839
3,9,track_to_track_ci,0.3967878386207045,0.0925674471360521
